id,tipo_prenda,talla,color,cantidad_disponible,precio_50_u,precio_100_u,precio_200_u,disponible,categoria,descripcion
078,Camiseta,M,Gris,360,457,959,1148,TRUE,Formal,Prenda cómoda y ligera.
079,Camiseta,L,Blanco,103,445,1191,812,TRUE,Deportivo,Ideal para uso diario.
080,Falda,S,Verde,200,680,965,875,FALSE,Deportivo,Prenda cómoda y ligera.
081,Sudadera,M,Negro,319,1008,1071,1212,TRUE,Casual,Diseño moderno y elegante.
082,Pantalón,M,Rojo,337,720,1389,431,FALSE,Formal,Diseño moderno y elegante.
083,Sudadera,XXL,Azul,275,801,780,1221,FALSE,Casual,Material de alta calidad.
084,Sudadera,XXL,Rojo,218,1167,674,1263,TRUE,Casual,Perfecta para actividades al aire libre.
085,Camisa,M,Rojo,19,527,822,791,TRUE,Casual,Material de alta calidad.
086,Pantalón,S,Gris,99,753,731,347,FALSE,Casual,Perfecta para actividades al aire libre.
087,Falda,L,Verde,317,1390,971,1123,TRUE,Casual,Ideal para uso diario.
088,Camisa,M,Azul,253,1438,1342,1009,TRUE,Casual,Material de alta calidad.
089,Camiseta,L,Verde,449,778,1177,977,TRUE,Formal,Perfecta para actividades al aire libre.
090,Camiseta,M,Verde,350,404,1221,1012,TRUE,Formal,Perfecta para actividades al aire libre.
091,Chaqueta,XXL,Amarillo,98,463,580,1271,FALSE,Deportivo,Diseño moderno y elegante.
092,Camiseta,S,Gris,226,987,490,904,TRUE,Casual,Ideal para uso diario.
093,Camiseta,L,Blanco,100,599,1336,1246,TRUE,Deportivo,Material de alta calidad.
094,Pantalón,XL,Gris,249,756,1288,425,TRUE,Casual,Diseño moderno y elegante.
095,Camiseta,XL,Negro,245,541,1095,681,TRUE,Formal,Perfecta para actividades al aire libre.
096,Falda,L,Negro,480,975,457,798,TRUE,Deportivo,Prenda cómoda y ligera.
097,Falda,XXL,Azul,51,973,785,628,TRUE,Formal,Perfecta para actividades al aire libre.
098,Sudadera,XXL,Azul,114,1491,529,476,TRUE,Casual,Perfecta para actividades al aire libre.
099,Camiseta,S,Verde,391,1067,372,366,TRUE,Formal,Ideal para uso diario.
100,Chaqueta,XL,Rojo,347,1117,565,358,TRUE,Deportivo,Diseño moderno y elegante.
